Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2631121662,bperron1 (43/150),0,194.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz OF Christian Yelich SS Joey Wendle 1B Keston Hiura 3B Travis Shaw 2B Jorge Polanco C Omar Narváez OF Avisaíl García,,Jacob deGrom,P,79.97%,41
2,2631421619,mts5200 (71/150),0,191.5,P Jacob deGrom P Trevor Rogers 3B DJ LeMahieu OF Christian Yelich OF Randy Arozarena 2B Dylan Moore 1B Keston Hiura C Omar Narváez OF Avisaíl García SS Luis Urías,,Michael Pineda,P,33.85%,19.1
3,2631014670,jmgbaseball95 (18/100),0,190.5,P Jacob deGrom P Trevor Rogers OF Randy Arozarena OF Austin Meadows 2B Brandon Lowe 3B Joey Wendle 1B Keston Hiura SS Willy Adames C Omar Narváez OF Avisaíl García,,DJ LeMahieu,3B,29.80%,7
3,2631326634,cw1tt (39/150),0,190.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz OF Christian Yelich 2B Tommy Edman SS Andrelton Simmons 1B Keston Hiura C Omar Narváez OF Avisaíl García 3B Jace Peterson,,Byron Buxton,OF,28.64%,8
5,2631190068,bmurphy34 (63/150),0,186.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz 2B DJ LeMahieu OF Christian Yelich SS Gleyber Torres 1B Keston Hiura C Omar Narváez OF Avisaíl García 3B Jace Peterson,,Francisco Lindor,SS,28.09%,0
6,2631176551,heels930 (30/150),0,184.5,P Jacob deGrom P Trevor Rogers OF Christian Yelich OF Austin Meadows SS Paul DeJong 1B Keston Hiura 3B Kyle Seager 2B Jorge Polanco C Omar Narváez OF Avisaíl García,,Jorge Polanco,2B,27.76%,0
6,2631190154,bmurphy34 (149/150),0,184.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz OF Christian Yelich SS Francisco Lindor 1B Keston Hiura 3B Travis Shaw 2B Jorge Polanco C Omar Narváez OF Avisaíl García,,Mitch Garver,C,21.75%,0
6,2631370137,gnicksd7 (16/20),0,184.5,P Jacob deGrom P Trevor Rogers OF Christian Yelich 2B Dylan Moore SS Andrelton Simmons 1B Keston Hiura 3B Travis Shaw OF Mitch Haniger C Omar Narváez OF Avisaíl García,,Aaron Judge,OF,21.38%,3
6,2631436679,Gboxer23 (46/150),0,184.5,P Jacob deGrom P Trevor Rogers OF Christian Yelich OF Austin Meadows 2B Brandon Lowe SS Andrelton Simmons 1B Keston Hiura 3B Travis Shaw C Omar Narváez OF Avisaíl García,,Gleyber Torres,SS,20.82%,0
10,2630994589,IronM1ke53 (10/150),0,183.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz OF Christian Yelich C Gary Sánchez 1B Keston Hiura 3B Travis Shaw 2B Jorge Polanco OF Avisaíl García SS Luis Urías,,Pete Alonso,1B,20.70%,0
10,2631354059,wproff (39/42),0,183.5,P Jacob deGrom P Trevor Rogers OF Christian Yelich OF Austin Meadows 2B Brandon Lowe 1B Keston Hiura 3B Travis Shaw SS Willy Adames C Francisco Mejía OF Avisaíl García,,Christian Yelich,OF,20.52%,21
12,2630994703,IronM1ke53 (124/150),0,181.3,P Jacob deGrom P Yusei Kikuchi OF Nelson Cruz 3B Nolan Arenado OF Christian Yelich 2B Tommy Edman 1B Keston Hiura C Omar Narváez OF Avisaíl García SS Luis Urías,,Nelson Cruz,OF,20.25%,21
13,2630994634,IronM1ke53 (55/150),0,180.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz OF Christian Yelich C Mitch Garver 1B Keston Hiura 3B Travis Shaw 2B Ty France OF Avisaíl García SS Luis Urías,,Austin Meadows,OF,20.24%,16
13,2631264130,ck013 (64/150),0,180.5,P Jacob deGrom P Trevor Rogers OF Nelson Cruz OF Christian Yelich 1B Paul Goldschmidt 2B Tommy Edman 3B Travis Shaw C Omar Narváez OF Avisaíl García SS Luis Urías,,Trevor Rogers,P,19.85%,34.5
13,2631276128,pscudder (86/150),0,180.5,P Jacob deGrom P Trevor Rogers 2B DJ LeMahieu OF Christian Yelich SS Paul DeJong 1B Keston Hiura C Yadier Molina 3B Travis Shaw OF Jackie Bradley Jr. OF Avisaíl García,,Brandon Lowe,2B,19.51%,0
13,2631436720,Gboxer23 (87/150),0,180.5,P Jacob deGrom P Trevor Rogers 3B Nolan Arenado OF Christian Yelich 2B Brandon Lowe SS Joey Wendle 1B Keston Hiura C Omar Narváez OF Jackie Bradley Jr. OF Avisaíl García,,Omar Narváez,C,18.56%,10
17,2631145732,MICKLES (23/150),0,179.5,P Jacob deGrom P Trevor Rogers OF Christian Yelich 2B Tommy Edman SS Paul DeJong 1B Keston Hiura C Yadier Molina 3B Travis Shaw OF Jackie Bradley Jr. OF Avisaíl García,,Kyle Garlick,OF,18.26%,5
17,2631436662,Gboxer23 (29/150),0,179.5,P Jacob deGrom P Trevor Rogers OF Christian Yelich OF Austin Meadows 2B Brandon Lowe SS Paul DeJong 1B Keston Hiura 3B Travis Shaw C Omar Narváez OF Avisaíl García,,Yusei Kikuchi,P,18.21%,17.3
19,2631271909,jbone19800 (24/40),0,178.5,P Jacob deGrom P Trevor Rogers 3B DJ LeMahieu OF Christian Yelich OF Byron Buxton SS Andrelton Simmons 1B Keston Hiura 2B Jorge Polanco C Omar Narváez OF Avisaíl García,,Brett Gardner,OF,18.06%,5
19,2631407782,wicked_mumbles (142/150),0,178.5,P Jacob deGrom P Trevor Rogers 3B DJ LeMahieu OF Christian Yelich OF Max Kepler 2B Brandon Lowe 1B Keston Hiura C Omar Narváez OF Avisaíl García SS Luis Urías,,Yoshi Tsutsugo,1B,17.98%,3
21,2631146983,skyler95 (87/150),0,177.1,P Jacob deGrom P Michael Pineda OF Christian Yelich OF Byron Buxton SS Andrelton Simmons 1B Keston Hiura 3B Travis Shaw C Omar Narváez OF Avisaíl García 2B Jazz Chisholm Jr.,,James McCann,C,17.59%,0
21,2631380563,Dshook420 (54/100),0,177.1,P Jacob deGrom P Michael Pineda OF Christian Yelich OF Austin Meadows 1B Keston Hiura C Yadier Molina 3B Travis Shaw 2B Jeff McNeil OF Avisaíl García SS Luis Urías,,Jay Bruce,1B,16.40%,0
