Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2629847389,cbesch24 (18/50),0,164.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu OF Randy Arozarena 2B Brandon Lowe OF Austin Meadows C Buster Posey SS Willy Adames OF Austin Slater 1B Yoshi Tsutsugo,,Walker Buehler,P,69.57%,21.9
2,2629847386,cbesch24 (15/50),0,163.4,P Walker Buehler P Johnny Cueto 3B Justin Turner OF Randy Arozarena 2B Brandon Lowe OF Austin Meadows C Buster Posey SS Willy Adames OF Austin Slater 1B Yoshi Tsutsugo,,Johnny Cueto,P,50.08%,32.5
3,2629585154,skyler95 (40/43),0,162.4,P Walker Buehler P Johnny Cueto 2B DJ LeMahieu C Gary Sánchez OF Randy Arozarena OF Austin Meadows 3B Yandy Díaz SS Willy Adames 1B Yoshi Tsutsugo OF Darin Ruf,,Corey Kluber,P,48.23%,1.05
4,2630000279,sploush (144/150),0,161.75,P Johnny Cueto P Austin Gomber 3B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez OF Randy Arozarena 2B Brandon Lowe OF Austin Meadows SS Willy Adames 1B Yoshi Tsutsugo,,Corey Seager,SS,45.48%,0
5,2629508808,Joronomo21 (9/15),0,157.4,P Walker Buehler P Johnny Cueto 2B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez 3B Joey Wendle OF Austin Meadows SS Willy Adames 1B Yoshi Tsutsugo OF Brett Phillips,,Will Smith,C,36.80%,0
5,2629585117,skyler95 (3/43),0,157.4,P Walker Buehler P Johnny Cueto C Gary Sánchez OF Randy Arozarena 3B Joey Wendle OF Austin Meadows OF Aaron Hicks SS Willy Adames 2B Wilmer Flores 1B Yoshi Tsutsugo,,Darin Ruf,OF,33.97%,4
5,2629634063,TopherSquints (17/21),0,157.4,P Walker Buehler P Johnny Cueto OF Giancarlo Stanton 2B Brandon Lowe 3B Joey Wendle OF Austin Meadows C Buster Posey OF AJ Pollock SS Willy Adames 1B Yoshi Tsutsugo,,Austin Slater,OF,32.96%,2
5,2629828267,nrkaul (7/24),0,157.4,P Walker Buehler P Johnny Cueto 2B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez 3B Joey Wendle OF Austin Meadows SS Willy Adames 1B Yoshi Tsutsugo OF Brett Phillips,,Justin Turner,3B,31.56%,20
5,2629847395,cbesch24 (24/50),0,157.4,P Walker Buehler P Johnny Cueto 2B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez OF Austin Meadows 3B Yandy Díaz SS Willy Adames 1B Yoshi Tsutsugo OF Brett Phillips,,DJ LeMahieu,3B,30.50%,21
5,2630001860,bigfella007 (1/2),0,157.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu OF Randy Arozarena 2B Brandon Lowe OF Austin Meadows C Buster Posey OF Aaron Hicks 1B Yoshi Tsutsugo SS Mauricio Dubón,,Max Muncy,1B,30.15%,0
11,2629594289,bpro45 (18/150),0,156.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez 2B Brandon Lowe OF Austin Meadows SS Willy Adames 1B Yoshi Tsutsugo OF Brett Phillips,,Chris Taylor,2B,29.74%,2
11,2629594299,bpro45 (28/150),0,156.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu C Gary Sánchez 2B Brandon Lowe SS Joey Wendle OF Austin Meadows OF Aaron Hicks 1B Yoshi Tsutsugo OF Brett Phillips,,Giancarlo Stanton,OF,28.98%,9
11,2629828268,nrkaul (8/24),0,156.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez 2B Brandon Lowe OF Austin Meadows SS Willy Adames 1B Yoshi Tsutsugo OF Brett Phillips,,Donovan Solano,2B,27.52%,0
11,2629847392,cbesch24 (21/50),0,156.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu OF Giancarlo Stanton C Gary Sánchez 2B Brandon Lowe OF Austin Meadows SS Willy Adames 1B Yoshi Tsutsugo OF Brett Phillips,,Buster Posey,C,26.51%,10
15,2629482826,MrBudweiser64 (2/2),0,155.6,P Johnny Cueto P Rich Hill 3B Justin Turner OF Randy Arozarena 2B Brandon Lowe OF Mike Yastrzemski SS Joey Wendle OF Austin Meadows C Buster Posey 1B Yoshi Tsutsugo,,Garrett Hampson,OF,24.29%,2
16,2629901286,FreemanByrd,0,155.4,P Walker Buehler P Johnny Cueto 2B DJ LeMahieu 3B Ryan McMahon OF Austin Meadows C Buster Posey OF Aaron Hicks 1B Yandy Díaz SS Willy Adames OF Zach McKinstry,,Wilmer Flores,2B,22.72%,4
16,2629955680,afonsotoque (17/50),0,155.4,P Walker Buehler P Johnny Cueto 3B Justin Turner OF Randy Arozarena 2B Brandon Lowe SS Joey Wendle C Buster Posey OF Aaron Hicks 1B Yandy Díaz OF Brett Phillips,,Gavin Lux,2B,17.50%,0
18,2629392579,nathanchlysta (2/2),0,154.4,P Walker Buehler P Johnny Cueto 3B DJ LeMahieu OF Giancarlo Stanton 2B Brandon Lowe SS Joey Wendle OF Austin Meadows C Buster Posey 1B Yoshi Tsutsugo OF Brett Phillips,,Jay Bruce,1B,17.22%,0
18,2629817843,tkanne24 (2/4),0,154.4,P Walker Buehler P Johnny Cueto 2B DJ LeMahieu C Gary Sánchez OF Austin Meadows OF Aaron Hicks 3B Yandy Díaz SS Willy Adames 1B Wilmer Flores OF Austin Slater,,AJ Pollock,OF,16.94%,5
