Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2626697763,candymanquarantine (26/40),0,149.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu SS Trevor Story OF Giancarlo Stanton C Gary Sánchez 1B C.J. Cron OF Chris Owings OF Cedric Mullins 2B Garrett Hampson,,Jameson Taillon,P,72.21%,18.7
2,2625758956,Mgoblue1017 (75/150),0,148.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson,,Ketel Marte,OF,59.27%,0
3,2625759004,Mgoblue1017 (123/150),0,147.5,P John Means P Antonio Senzatela SS Trevor Story 1B C.J. Cron 2B Chris Owings OF Cedric Mullins OF Anthony Santander 3B Rio Ruiz OF Garrett Hampson C Elias Díaz,,Trevor Story,SS,56.00%,0
4,2625900880,otis_spunkmeyer,0,147.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Gleyber Torres C Gary Sánchez 3B Gio Urshela 1B C.J. Cron OF Aaron Hicks OF Chris Owings OF Garrett Hampson,,John Means,P,51.45%,11.1
5,2625758959,Mgoblue1017 (78/150),0,145.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson C Elias Díaz,,Giancarlo Stanton,OF,50.95%,6
6,2625758884,Mgoblue1017 (3/150),0,143.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Trevor Story OF Giancarlo Stanton C Gary Sánchez 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson,,DJ LeMahieu,3B,47.91%,6
6,2625758899,Mgoblue1017 (18/150),0,143.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron OF Chris Owings 3B Josh Fuentes OF Garrett Hampson,,Madison Bumgarner,P,45.82%,2.65
6,2625758940,Mgoblue1017 (59/150),0,143.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron OF Aaron Hicks 2B Chris Owings OF Garrett Hampson,,Ryan McMahon,2B,35.79%,2
6,2626928927,appleeye (146/150),0,143.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron OF Aaron Hicks 2B Chris Owings OF Garrett Hampson,,Gary Sánchez,C,35.45%,10
6,2626953434,BiggRedd1377,0,143.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron OF Chris Owings 3B Josh Fuentes OF Garrett Hampson,,C.J. Cron,1B,32.76%,11
6,2627014216,dantep14,0,143.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Trevor Story OF Giancarlo Stanton C Gary Sánchez 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson,,Garrett Hampson,OF,31.50%,33
6,2627033138,bowl800s (95/150),0,143.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Trevor Story OF Giancarlo Stanton C Gary Sánchez 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson,,Asdrúbal Cabrera,1B,29.61%,2
6,2627039383,jwhalen619 (86/150),0,143.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu SS Trevor Story C Gary Sánchez 1B C.J. Cron OF Tim Locastro 2B Chris Owings OF Cedric Mullins OF Garrett Hampson,,Chris Owings,OF,28.90%,24
14,2625759002,Mgoblue1017 (121/150),0,142.5,P John Means P Antonio Senzatela SS Trevor Story 1B C.J. Cron 3B Maikel Franco 2B Chris Owings OF Cedric Mullins OF Anthony Santander OF Garrett Hampson C Elias Díaz,,David Peralta,OF,27.93%,0
15,2626697776,candymanquarantine (39/40),0,142.1,P Jameson Taillon P Antonio Senzatela SS Trevor Story OF Giancarlo Stanton C Gary Sánchez 3B Gio Urshela 1B C.J. Cron OF Aaron Hicks OF Chris Owings 2B Garrett Hampson,,Antonio Senzatela,P,27.21%,24.4
16,2625758988,Mgoblue1017 (107/150),0,140.5,P John Means P Antonio Senzatela SS Trevor Story 1B C.J. Cron 2B Chris Owings OF Cedric Mullins OF Anthony Santander C Pedro Severino 3B Josh Fuentes OF Garrett Hampson,,Gleyber Torres,SS,26.69%,5
16,2627228465,bdeakins4 (1/2),0,140.5,P John Means P Antonio Senzatela SS Trevor Story 1B C.J. Cron OF Chris Owings OF Cedric Mullins OF Anthony Santander 3B Rio Ruiz C Pedro Severino 2B Garrett Hampson,,Cedric Mullins,OF,22.86%,16
18,2625758885,Mgoblue1017 (4/150),0,140.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Trevor Story OF Giancarlo Stanton 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson C Elias Díaz,,Clint Frazier,OF,21.20%,0
18,2625758902,Mgoblue1017 (21/150),0,140.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres 1B C.J. Cron OF Chris Owings 3B Josh Fuentes OF Garrett Hampson C Elias Díaz,,Aaron Hicks,OF,20.68%,5
18,2625758942,Mgoblue1017 (61/150),0,140.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres 1B C.J. Cron OF Aaron Hicks 2B Chris Owings OF Garrett Hampson C Elias Díaz,,Elias Díaz,C,20.63%,7
18,2626787215,yilchez (2/2),0,140.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron 2B Ryan McMahon OF Chris Owings OF Garrett Hampson,,Josh Fuentes,3B,20.02%,5
18,2626928920,appleeye (139/150),0,140.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron 3B Ryan McMahon OF Chris Owings OF Garrett Hampson,,Eduardo Escobar,3B,18.57%,0
18,2627019576,cherrick07 (6/31),0,140.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron 3B Ryan McMahon OF Chris Owings OF Garrett Hampson,,Ryan Mountcastle,OF,18.26%,0
18,2627033164,bowl800s (121/150),0,140.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Trevor Story OF Giancarlo Stanton 3B Gio Urshela 1B C.J. Cron OF Chris Owings OF Garrett Hampson C Elias Díaz,,Anthony Santander,OF,16.94%,16
18,2627148730,Chadg20 (2/30),0,140.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu SS Trevor Story OF Ketel Marte 1B C.J. Cron 2B Chris Owings OF Anthony Santander OF Garrett Hampson C Elias Díaz,,Christian Walker,1B,16.92%,5
18,2627183192,geemerboy,0,140.1,P Jameson Taillon P Antonio Senzatela 3B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres 1B C.J. Cron OF Aaron Hicks OF Chris Owings 2B Garrett Hampson C Elias Díaz,,Josh Rojas,2B,16.52%,3
18,2627218691,cherrick07 (24/31),0,140.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu OF Giancarlo Stanton SS Gleyber Torres C Gary Sánchez 1B C.J. Cron 3B Ryan McMahon OF Chris Owings OF Garrett Hampson,,Pedro Severino,C,16.24%,0
28,2627115404,thepriest31 (56/150),0,139.5,P John Means P Antonio Senzatela SS Trevor Story 1B Christian Walker 3B Gio Urshela OF Chris Owings OF Cedric Mullins OF Anthony Santander C Pedro Severino 2B Garrett Hampson,,Trey Mancini,1B,13.81%,2
29,2625758905,Mgoblue1017 (24/150),0,139.1,P Jameson Taillon P Antonio Senzatela SS Trevor Story C Gary Sánchez 1B C.J. Cron OF Aaron Hicks 2B Chris Owings 3B Josh Fuentes OF Garrett Hampson OF Brett Gardner,,Stephen Vogt,C,13.79%,0
29,2625758912,Mgoblue1017 (31/150),0,139.1,P Jameson Taillon P Antonio Senzatela 2B DJ LeMahieu SS Trevor Story 3B Gio Urshela 1B C.J. Cron OF Aaron Hicks OF Chris Owings OF Garrett Hampson C Elias Díaz,,Jay Bruce,1B,12.30%,0
29,2625758923,Mgoblue1017 (42/150),0,139.1,P Jameson Taillon P Antonio Senzatela SS Trevor Story OF Giancarlo Stanton 3B Gio Urshela 1B C.J. Cron OF Aaron Hicks 2B Chris Owings OF Garrett Hampson C Elias Díaz,,Carson Kelly,C,12.27%,7
