Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
20,2628890252,Kaseyklop (2/2),0,151.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Jason Castro OF Myles Straw,,Cavan Biggio,3B,20.90%,18
24,2628752011,morongowahl (4/5),0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher C Jason Castro OF Justin Upton OF Myles Straw,,Lourdes Gurriel Jr.,OF,20.37%,3
24,2628836079,nflritter,0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Kurt Suzuki OF Justin Upton OF Myles Straw,,Marcus Semien,2B,19.81%,0
24,2628857738,crews400 (2/2),0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. SS Carlos Correa OF Shohei Ohtani 2B David Fletcher 1B Mitch Moreland C Kurt Suzuki OF Dexter Fowler,,Myles Straw,OF,18.87%,12
24,2628902367,duffman1985,0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani OF Stephen Piscotty C Kurt Suzuki OF Myles Straw,,Vladimir Guerrero Jr.,1B,17.79%,23
24,2628902414,jakswild (2/2),0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Kurt Suzuki OF Justin Upton OF Myles Straw,,David Fletcher,2B,15.80%,14
24,2628930850,Goodloser,0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher C Jason Castro OF Justin Upton OF Myles Straw,,Teoscar Hernández,OF,15.15%,7
24,2628949285,klueless10,0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Jared Walsh C Sean Murphy OF Justin Upton OF Myles Straw,,Mark Canha,OF,14.20%,7
31,2628181128,EmceeDusty44 (114/150),0,150.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. OF Teoscar Hernández SS Carlos Correa 3B Cavan Biggio C Danny Jansen 2B Joe Panik OF Dexter Fowler,,Danny Jansen,C,12.81%,0
32,2628210681,mjrlaw23 (78/150),0,149.85,P Cristian Javier P Griffin Canning OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve 3B Cavan Biggio OF Shohei Ohtani C Kurt Suzuki SS José Iglesias OF Myles Straw,,Randal Grichuk,OF,12.18%,0
