Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2615733243,jsurab (1/2),0,198.4,P Tyler Glasnow P Sandy Alcantara OF Cody Bellinger SS Corey Seager C Salvador Perez 1B Max Muncy 3B Asdrúbal Cabrera OF Joey Gallo OF Jorge Soler 2B Ketel Marte,,Tyler Glasnow,P,41.26%,24.9
2,2615842802,redmen130 (1/3),0,172.4,P Tyler Glasnow P Sandy Alcantara 3B Manny Machado SS Trevor Story C Salvador Perez OF Whit Merrifield OF Jesse Winker 1B Carlos Santana OF Jorge Soler 2B Ketel Marte,,Tommy Pham,OF,36.36%,5
3,2615458724,Dj4eagle2 (5/6),0,172.25,P Tyler Glasnow P Kenta Maeda SS Corey Seager C Salvador Perez OF Whit Merrifield 3B Hunter Dozier OF Austin Meadows 1B Carlos Santana OF Jorge Soler 2B Ketel Marte,,Corey Seager,SS,33.67%,12
4,2607108870,Ponta01,0,170.25,P Tyler Glasnow P Jack Flaherty 3B Nolan Arenado C Salvador Perez 1B Paul Goldschmidt SS Paul DeJong OF Max Kepler OF Tyler O'Neill OF Jorge Soler 2B Ketel Marte,,Kyle Hendricks,P,32.47%,4.55
5,2613619687,Awesemo (12/30),0,164.4,P Tyler Glasnow P Sandy Alcantara SS Corey Seager C Salvador Perez OF Whit Merrifield 1B Max Muncy 3B Justin Turner 2B Gavin Lux OF Jorge Soler OF Eli White,,Fernando Tatis Jr.,SS,31.77%,5
5,2615842803,redmen130 (2/3),0,164.4,P Tyler Glasnow P Sandy Alcantara OF Cody Bellinger SS Corey Seager C Salvador Perez 3B Mike Moustakas 2B Gavin Lux OF Joey Gallo 1B Carlos Santana OF Jorge Soler,,Cody Bellinger,OF,30.87%,14
7,2614673781,theWhistlesGoWooo (2/30),0,162.4,P Tyler Glasnow P Sandy Alcantara OF Mookie Betts SS Corey Seager C Salvador Perez 3B Justin Turner 2B Gavin Lux 1B Carlos Santana OF Jorge Soler OF Michael A. Taylor,,Mookie Betts,OF,28.67%,10
8,2613619701,Awesemo (26/30),0,159.3,P Aaron Nola P Tyler Glasnow OF Bryce Harper C J.T. Realmuto 1B Rhys Hoskins OF Andrew McCutchen 3B Alec Bohm SS Chris Owings 2B Ketel Marte OF David Dahl,,Justin Turner,3B,26.87%,7
9,2615802334,BigPenguin (8/12),0,159.25,P Tyler Glasnow P Kenta Maeda C Salvador Perez OF Whit Merrifield 3B Hunter Dozier 1B Nate Lowe OF Joey Gallo SS Isiah Kiner-Falefa 2B Nick Solak OF David Dahl,,Luis Castillo,P,24.58%,-15.1
10,2615563833,hank20 (7/11),0,158.85,P Kenta Maeda P Sandy Alcantara C Salvador Perez OF Whit Merrifield 1B Max Muncy OF Wil Myers 3B Josh Donaldson OF Byron Buxton 2B Adam Frazier SS Jorge Polanco,,Manny Machado,3B,23.28%,0
