Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2628802360,cjcarlto (41/150),0,197.55,P Lance Lynn 1B Miguel Sanó SS Andrelton Simmons OF Adam Eaton C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes OF Kyle Garlick 2B Ty France,,Corbin Burnes,P,56.40%,30.3
2,2628210481,mjrlaw23 (72/150),0,193.55,OF Nelson Cruz P Lance Lynn OF Adam Eaton C Mitch Garver 1B José Marmolejos OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick 2B Ty France,,José Berríos,P,55.41%,23.95
3,2627749429,meeshmeesh17,0,192.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco SS Andrelton Simmons C Yermín Mercedes 1B José Marmolejos OF Byron Buxton 3B Yoán Moncada P Corbin Burnes OF Kyle Garlick,,Lance Lynn,P,54.08%,48.25
3,2627974056,Dubbzz (13/20),0,192.55,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick,,Byron Buxton,OF,49.23%,24
3,2628210442,mjrlaw23 (33/150),0,192.55,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick,,Nelson Cruz,OF,40.08%,7
3,2628458082,Riccajb9 (2/31),0,192.55,P Lance Lynn 1B Miguel Sanó SS Andrelton Simmons OF Adam Eaton 3B Travis Shaw C Yermín Mercedes OF Byron Buxton 2B Luis Arraez P Corbin Burnes OF Kyle Garlick,,Jorge Polanco,2B,32.63%,9
3,2628488615,Riccajb9 (31/31),0,192.55,P Lance Lynn 1B Miguel Sanó SS Andrelton Simmons OF Adam Eaton 3B Travis Shaw C Yermín Mercedes OF Byron Buxton 2B Luis Arraez P Corbin Burnes OF Kyle Garlick,,Christian Yelich,OF,32.14%,2
3,2628707958,chfen07 (1/150),0,192.55,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick,,Miguel Sanó,1B,29.45%,9
9,2628527812,NS58 (9/10),0,191.55,OF Nelson Cruz P Lance Lynn 1B Miguel Sanó C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick 2B Nick Madrigal OF Kyle Garlick,,Travis Shaw,3B,28.68%,9
10,2628210518,mjrlaw23 (109/150),0,190.55,P Lance Lynn 1B Miguel Sanó SS Andrelton Simmons OF Adam Eaton C Yermín Mercedes OF Byron Buxton 3B Yoán Moncada P Corbin Burnes 2B Nick Madrigal OF Kyle Garlick,,Yermín Mercedes,C,27.55%,17
11,2628210475,mjrlaw23 (66/150),0,189.55,P Lance Lynn 2B Jorge Polanco 1B Miguel Sanó OF Adam Eaton OF Max Kepler C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick,,Omar Narváez,C,27.45%,5
11,2628344553,bgeistusn (93/150),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Danny Mendick,SS,27.23%,11
11,2628364212,Banner_Smash (1/6),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Kyle Garlick,OF,27.20%,12
11,2628722010,chfen07 (97/150),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Adam Eaton,OF,26.83%,10
11,2628724794,wayne361 (65/150),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Yoán Moncada,3B,26.19%,16
11,2628730131,haakee (92/150),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Keston Hiura,1B,24.89%,7
11,2628731342,whelanjm11 (140/150),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Kolten Wong,2B,23.18%,2
11,2628764886,karljr (5/5),0,189.55,OF Nelson Cruz P Lance Lynn 2B Jorge Polanco C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick 1B Keston Hiura,,Paul DeJong,SS,21.87%,0
19,2628210450,mjrlaw23 (41/150),0,188.55,P Lance Lynn 2B Jorge Polanco 1B Miguel Sanó C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick OF Luis Robert,,Luis Urías,SS,20.84%,0
19,2628764885,karljr (4/5),0,188.55,P Lance Lynn 2B Jorge Polanco 1B Miguel Sanó C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick OF Luis Robert,,José Abreu,1B,19.07%,7
21,2628724765,wayne361 (36/150),0,187.55,OF Nelson Cruz P Lance Lynn 2B Kolten Wong OF Adam Eaton C Mitch Garver 1B José Marmolejos OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick,,Mitch Garver,C,19.06%,25
22,2628724873,wayne361 (144/150),0,186.55,P Lance Lynn 2B Jorge Polanco 1B Miguel Sanó OF Christian Yelich C Mitch Garver OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick,,Kyle Seager,3B,17.54%,2
22,2628724875,wayne361 (146/150),0,186.55,P Lance Lynn 2B Jorge Polanco OF Christian Yelich C Mitch Garver OF José Marmolejos OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick 1B Keston Hiura,,Nicky Lopez,SS,17.26%,0
22,2628786533,cb1umthal (107/150),0,186.55,P Lance Lynn 1B José Abreu 2B Jorge Polanco SS Andrelton Simmons OF Adam Eaton OF Byron Buxton C Luis Torrens 3B Luis Arraez P Corbin Burnes OF Kyle Garlick,,Lorenzo Cain,OF,17.22%,0
25,2628210429,mjrlaw23 (20/150),0,186.2,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Mitch Garver OF Byron Buxton P José Berríos 3B Yoán Moncada SS Danny Mendick OF Kyle Garlick,,José Marmolejos,1B,16.45%,14
25,2628210495,mjrlaw23 (86/150),0,186.2,P Lance Lynn 1B José Abreu OF Adam Eaton C Mitch Garver OF Byron Buxton P José Berríos 3B Yoán Moncada SS Danny Mendick 2B Nick Madrigal OF Kyle Garlick,,Adam Wainwright,P,15.88%,16.45
25,2628734610,upnorthwhopper,0,186.2,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Mitch Garver OF Byron Buxton P José Berríos 3B Yoán Moncada SS Danny Mendick OF Kyle Garlick,,Mitch Haniger,OF,14.35%,5
25,2628771090,MadHungarian37 (62/150),0,186.2,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Mitch Garver OF Byron Buxton P José Berríos 3B Yoán Moncada SS Danny Mendick OF Kyle Garlick,,Andrelton Simmons,SS,12.58%,15
29,2628210438,mjrlaw23 (29/150),0,184.55,OF Nelson Cruz P Lance Lynn 2B Kolten Wong C Mitch Garver OF José Marmolejos OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick 1B Keston Hiura,,Jackie Bradley Jr.,OF,11.59%,2
29,2628210457,mjrlaw23 (48/150),0,184.55,P Lance Lynn 1B José Abreu 2B Jorge Polanco OF Adam Eaton C Yermín Mercedes OF Byron Buxton 3B Yoán Moncada P Corbin Burnes SS Danny Mendick OF Kyle Garlick,,Luis Robert,OF,11.40%,4
