Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2628331099,uhhuhbro (6/9),0,192.2,P José Berríos P Lance Lynn 1B Christian Walker SS Andrelton Simmons C Mitch Garver OF Byron Buxton OF David Peralta 3B Eduardo Escobar 2B Jorge Polanco OF Kyle Garlick,,José Berríos,P,54.67%,23.95
2,2628565300,wilson1,0,183.2,P José Berríos P Lance Lynn 3B Rafael Devers C Christian Vázquez OF Alex Verdugo OF Byron Buxton 2B Jorge Polanco SS Christian Arroyo 1B Josh Fuentes OF Kyle Garlick,,Corbin Burnes,P,54.67%,30.3
3,2628546859,rwalkersc (6/7),0,181.15,P Corbin Burnes P Eduardo Rodriguez 3B Kris Bryant SS Javier Báez C Mitch Garver OF Byron Buxton 1B Miguel Sanó 2B Jorge Polanco OF Jake Marisnick OF Kyle Garlick,,Garrett Hampson,2B,39.67%,12
4,2628523971,Dj4eagle2 (3/3),0,180.55,P Corbin Burnes P Lance Lynn 3B Rafael Devers OF Nelson Cruz C Mitch Garver OF Byron Buxton 1B Miguel Sanó SS Jonathan Villar 2B Josh VanMeter OF Kyle Garlick,,Lance Lynn,P,38.00%,48.25
5,2628594158,BRORANNOSAURUS_FLEX (8/9),0,179.2,P José Berríos P Lance Lynn 1B Christian Walker C Mitch Garver OF Byron Buxton OF David Peralta 3B Eduardo Escobar 2B Jorge Polanco SS Christian Arroyo OF Kyle Garlick,,Trevor Story,SS,37.00%,19
6,2628507741,Dj4eagle2 (2/3),0,178.2,P José Berríos P Lance Lynn 3B Rafael Devers SS Trevor Story OF Alex Verdugo 1B Miguel Sanó 2B Marwin Gonzalez OF Franchy Cordero C Dom Nuñez OF Sam Hilliard,,Ryan McMahon,3B,30.67%,3
7,2628355101,bkreider (1/9),0,176.55,P Corbin Burnes P Lance Lynn OF Nelson Cruz SS Trevor Story OF Byron Buxton 1B Miguel Sanó 2B Jorge Polanco C Dom Nuñez 3B Josh VanMeter OF Kyle Garlick,,Francisco Lindor,SS,25.33%,9
7,2628594152,BRORANNOSAURUS_FLEX (2/9),0,176.55,P Corbin Burnes P Lance Lynn 3B Kris Bryant SS Trevor Story 1B Anthony Rizzo OF Jason Heyward 2B Garrett Hampson C Dom Nuñez OF Jake Marisnick OF Sam Hilliard,,Josh VanMeter,3B,25.00%,0
9,2628528497,squirrelpatroldk (4/9),0,176.2,P José Berríos P Lance Lynn 3B Rafael Devers C Mitch Garver OF Byron Buxton 2B Adam Frazier SS Kevin Newman 1B Colin Moran OF Bryan Reynolds OF Gregory Polanco,,Sam Hilliard,OF,23.67%,2
10,2628405287,Hurliss (1/2),0,175.2,P José Berríos P Lance Lynn SS Trevor Story OF Charlie Blackmon 3B Ryan McMahon OF David Peralta 2B Eduardo Escobar 1B Marwin Gonzalez C Dom Nuñez OF Sam Hilliard,,Christian Walker,1B,23.00%,0
