Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2626585019,yerbey,0,183.15,OF Andrew McCutchen OF Darin Ruf OF Mitch Haniger C J.T. Realmuto SS Francisco Lindor P Blake Snell 1B Rhys Hoskins P Jack Flaherty 2B Tommy Edman 3B Alec Bohm,,Blake Snell,P,52.83%,19.65
2,2626317044,DATYSCH (63/140),0,182.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Adam Eaton,OF,46.64%,9
2,2626682103,Lamartine (17/20),0,182.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Jack Flaherty,P,46.06%,26.5
2,2626696283,chfen07 (39/50),0,182.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Andrew McCutchen,OF,38.45%,15
5,2626703410,KingBussy (10/50),0,180.25,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto P Kevin Gausman SS Francisco Lindor OF Brandon Nimmo 1B Rhys Hoskins P Jack Flaherty 2B Tommy Edman 3B Alec Bohm,,Aaron Nola,P,37.41%,11.6
6,2626316605,aanderson13 (21/75),0,179.15,OF Andrew McCutchen OF Mitch Haniger SS Jonathan Villar C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty 2B Tommy Edman 3B Alec Bohm,,Alec Bohm,3B,34.60%,23
7,2625646095,chiefstigers (5/20),0,179.1,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto OF Jurickson Profar P Aaron Nola 1B Rhys Hoskins P Jack Flaherty 2B Tommy Edman 3B Alec Bohm,,Jake Cronenworth,2B,30.36%,0
8,2626685254,Hinobrown (5/10),0,177.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Dominic Smith 2B Luis Guillorme 1B Rhys Hoskins P Jack Flaherty 3B Alec Bohm,,J.T. Realmuto,C,29.72%,22
9,2626078423,whelanjm11 (105/150),0,175.15,OF Andrew McCutchen SS Jonathan Villar C J.T. Realmuto OF Adam Eaton P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Tommy Edman 3B Alec Bohm,,Francisco Lindor,SS,28.09%,7
10,2626196486,linkin456 (16/20),0,175.1,OF Andrew McCutchen C J.T. Realmuto OF Adam Eaton P Aaron Nola 1B Rhys Hoskins P Jack Flaherty SS Paul DeJong 2B Tommy Edman OF Dylan Carlson 3B Alec Bohm,,Mitch Haniger,OF,25.69%,4
11,2626686045,MadHungarian37 (36/150),0,174.15,OF Andrew McCutchen C J.T. Realmuto P Blake Snell OF Tyler O'Neill 1B Rhys Hoskins P Jack Flaherty SS Paul DeJong 2B Tommy Edman OF Dylan Carlson 3B Alec Bohm,,Rhys Hoskins,1B,25.03%,26
12,2625646097,chiefstigers (7/20),0,174.1,OF Andrew McCutchen OF Wil Myers SS Jonathan Villar C J.T. Realmuto OF Adam Eaton P Aaron Nola 1B Rhys Hoskins P Jack Flaherty 2B Ty France 3B Alec Bohm,,Bryce Harper,OF,24.88%,14
13,2625646093,chiefstigers (3/20),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Ty France 3B Alec Bohm,,José Abreu,1B,22.91%,8
13,2625917638,drgonzo1,0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Pablo López,P,22.29%,20
13,2626343426,bigephatrides (9/10),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Ty France 3B Alec Bohm,,Michael Conforto,OF,21.33%,0
13,2626343427,bigephatrides (10/10),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Dominic Smith,OF,19.75%,5
13,2626484143,Bones1212 (1/3),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Luis Robert,OF,19.28%,5
13,2626494455,Bones1212 (2/3),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Kevin Gausman,P,18.74%,20.75
13,2626506918,Bones1212 (3/3),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Zack Collins,C,17.81%,7
13,2626717820,nan349 (2/3),0,173.15,OF Andrew McCutchen SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell OF Michael Conforto 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Jazz Chisholm Jr.,SS,17.59%,2
21,2626651784,mpo1523 (6/10),0,172.35,OF Andrew McCutchen OF Darin Ruf OF Bryce Harper C J.T. Realmuto P Kevin Gausman SS Francisco Lindor P Aaron Nola 1B Rhys Hoskins 2B Ty France 3B Alec Bohm,,Ha-Seong Kim,SS,16.65%,0
22,2626682089,Lamartine (3/20),0,172.25,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto P Kevin Gausman OF Adam Eaton SS Francisco Lindor 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal 3B Alec Bohm,,Yasmani Grandal,C,16.48%,8
22,2626703409,KingBussy (9/50),0,172.25,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto P Kevin Gausman SS Francisco Lindor OF Brandon Nimmo 2B Luis Guillorme 1B Rhys Hoskins P Jack Flaherty 3B Alec Bohm,,Paul DeJong,SS,16.03%,6
24,2626683157,barnes107 (3/5),0,172.15,OF Andrew McCutchen OF Corey Dickerson 1B Jake Lamb SS Jonathan Villar OF Bryce Harper C J.T. Realmuto P Blake Snell P Jack Flaherty 2B Tommy Edman 3B Alec Bohm,,Ty France,2B,15.44%,9
25,2626683858,bradsaucier (2/2),0,172.1,OF Andrew McCutchen 2B Matt Carpenter OF Darin Ruf OF Bryce Harper C J.T. Realmuto P Aaron Nola 1B Rhys Hoskins P Jack Flaherty SS Paul DeJong 3B Alec Bohm,,Wil Myers,OF,14.80%,14
26,2626316989,DATYSCH (8/140),0,171.15,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty SS Danny Mendick 2B Nick Madrigal 3B Alec Bohm,,Brandon Nimmo,OF,14.60%,10
26,2626686025,MadHungarian37 (16/150),0,171.15,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty SS Danny Mendick 2B Nick Madrigal 3B Alec Bohm,,Dallas Keuchel,P,14.06%,7.05
26,2626686030,MadHungarian37 (21/150),0,171.15,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty SS Danny Mendick 2B Nick Madrigal 3B Alec Bohm,,Nolan Arenado,3B,13.19%,3
26,2626686040,MadHungarian37 (31/150),0,171.15,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty SS Danny Mendick 2B Nick Madrigal 3B Alec Bohm,,Didi Gregorius,SS,13.07%,3
26,2626686065,MadHungarian37 (56/150),0,171.15,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto OF Adam Eaton P Blake Snell 1B Rhys Hoskins P Jack Flaherty SS Danny Mendick 2B Nick Madrigal 3B Alec Bohm,,Nick Madrigal,2B,12.72%,9
31,2626505912,Mska17 (2/3),0,170.1,OF Andrew McCutchen SS Didi Gregorius OF Wil Myers C J.T. Realmuto P Aaron Nola 1B Rhys Hoskins P Jack Flaherty 2B Nick Madrigal OF Dylan Carlson 3B Alec Bohm,,Jake Lamb,1B,11.77%,8
32,2626722196,heggs30,0,169.65,C Yadier Molina OF Andrew McCutchen OF Corey Dickerson OF Bryce Harper P Blake Snell P Pablo López 1B Rhys Hoskins SS Paul DeJong 2B Tommy Edman 3B Alec Bohm,,Starling Marte,OF,11.67%,2
33,2626678103,scrytop (2/8),0,169.25,OF Andrew McCutchen 1B Paul Goldschmidt OF Bryce Harper C J.T. Realmuto P Kevin Gausman SS Francisco Lindor P Jack Flaherty 2B Tommy Edman OF Dylan Carlson 3B Alec Bohm,,Evan Longoria,3B,11.64%,12
34,2626682087,Lamartine (1/20),0,168.25,OF Andrew McCutchen OF Bryce Harper C J.T. Realmuto P Kevin Gausman 1B Rhys Hoskins P Jack Flaherty SS Danny Mendick 2B Ty France OF Luis Robert 3B Alec Bohm,,Manny Machado,3B,11.22%,0
