Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2638384566,c-moneytime,0,159.6,P Dustin May P Carlos Rodón OF Ronald Acuña Jr. SS Corey Seager OF Akil Baddoo OF Adam Duvall 1B Renato Núñez C Wilson Ramos 3B Jeimer Candelario 2B Nick Madrigal,,Charlie Morton,P,65.67%,15.5
2,2638325931,clevelandforlife2017,0,150.15,P Carlos Rodón P Charlie Morton OF Ronald Acuña Jr. SS Carlos Correa OF Austin Meadows 2B Brandon Lowe 1B Yuli Gurriel C Wilson Ramos OF Myles Straw 3B Abraham Toro,,Dustin May,P,47.01%,12.95
3,2638433990,epolep21,0,142.6,P Dustin May P Carlos Rodón OF Ronald Acuña Jr. SS Corey Seager 2B Ozzie Albies OF Marcell Ozuna 1B Yandy Díaz C Wilson Ramos 3B Ronald Torreyes OF Adolis García,,Freddie Freeman,1B,43.28%,8
4,2638063000,randyoliver799,0,141.6,P Dustin May P Carlos Rodón OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies OF Marcell Ozuna 3B Yandy Díaz C Wilson Ramos SS Ronald Torreyes OF Adolis García,,Marcell Ozuna,OF,33.58%,0
5,2637058664,Awesemo (3/4),0,137.15,P Carlos Rodón P Charlie Morton OF Ronald Acuña Jr. C J.T. Realmuto OF Kyle Tucker 1B Yuli Gurriel 3B Alec Bohm OF Andrew McCutchen 2B Jean Segura SS Ronald Torreyes,,Ronald Acuña Jr.,OF,32.09%,39
6,2637996187,IamPGM (1/3),0,133.6,P Dustin May P Carlos Rodón OF Starling Marte OF Michael Brantley 3B Aledmys Díaz 2B Jazz Chisholm Jr. OF Adam Duvall 1B Renato Núñez SS Miguel Rojas C Wilson Ramos,,Travis d'Arnaud,C,32.09%,0
7,2638488749,Thewolf8585,0,131.15,P Carlos Rodón P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna 3B Alec Bohm SS Ronald Torreyes OF Adolis García,,Ozzie Albies,2B,31.34%,6
8,2637917021,giantsquid (3/4),0,129.5,P Lance McCullers Jr. P Carlos Rodón OF Ronald Acuña Jr. 2B Brandon Lowe SS Dansby Swanson 3B Austin Riley OF Adam Duvall 1B Jesús Aguilar OF Corey Dickerson C Jorge Alfaro,,Adolis García,OF,26.87%,15
9,2637221710,GambleCampbell (2/2),0,128.6,P Dustin May P Carlos Rodón OF Ronald Acuña Jr. 1B Freddie Freeman OF Marcell Ozuna SS Dansby Swanson 2B Jeff McNeil OF Brandon Nimmo C Jorge Alfaro 3B Luis Guillorme,,Lance McCullers Jr.,P,26.12%,-3.15
10,2637375407,bkreider (4/4),0,126.95,P Josh Fleming P David Peterson OF Ronald Acuña Jr. SS Corey Seager 3B Justin Turner 1B Max Muncy 2B Ozzie Albies C Austin Barnes OF Matt Beaty OF Nomar Mazara,,Corey Seager,SS,25.37%,9
11,2638408576,Beric6312 (2/2),0,123.6,P Dustin May P Josh Fleming OF Ronald Acuña Jr. SS Corey Seager C Jason Castro 3B Aledmys Díaz 2B Gavin Lux OF Zach McKinstry 1B Matt Beaty OF Ronnie Dawson,,Wilson Ramos,C,23.88%,7
12,2638192903,ARaven52 (1/2),0,123.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman OF Austin Meadows SS Francisco Lindor 3B Yandy Díaz C Wilson Ramos 2B Jeff McNeil OF Adolis García,,Brandon Lowe,2B,22.39%,14
13,2637497675,theWhistlesGoWooo (3/4),0,119.45,P Dustin May P Charlie Morton OF Mookie Betts SS Corey Seager 3B Justin Turner OF Dominic Smith C James McCann 2B Jeff McNeil OF Brandon Nimmo 1B Matt Beaty,,Yandy Díaz,3B,21.64%,6
14,2637883475,wilson1 (1/4),0,118.8,P Charlie Morton P David Peterson OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies SS Willy Adames OF Marcell Ozuna 3B Austin Riley OF Manuel Margot C Wilson Ramos,,Austin Meadows,OF,20.15%,3
15,2638381070,mariob888,0,117.600006,P Dustin May P Carlos Rodón OF Mookie Betts SS Corey Seager 1B Max Muncy 2B Nick Solak C Wilson Ramos 3B Jeimer Candelario OF Nomar Mazara OF Adolis García,,Alec Bohm,3B,18.66%,0
16,2638105039,rikkidee (4/4),0,117.55,P Zack Wheeler P Charlie Morton OF Mookie Betts SS Corey Seager 3B Justin Turner C Travis d'Arnaud 1B Yuli Gurriel 2B Gavin Lux OF Zach McKinstry OF Adolis García,,Kyle Tucker,OF,16.42%,0
17,2638344906,anilprao88 (3/4),0,116.45,P Dustin May P Charlie Morton OF Mookie Betts SS Corey Seager 3B Justin Turner 2B Gavin Lux C Wilson Ramos 1B Jonathan Schoop OF Zach McKinstry OF Robbie Grossman,,Nomar Mazara,OF,16.42%,0
18,2638359882,maleniam,0,113.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies OF Marcell Ozuna SS Dansby Swanson C Wilson Ramos 3B Charlie Culberson OF Adolis García,,Carlos Correa,SS,16.42%,3
19,2638087088,DroseSucks,0,112.3,P Charlie Morton P Jon Gray OF Ronald Acuña Jr. 1B Freddie Freeman OF Austin Meadows 2B Brandon Lowe OF Kyle Tucker C Wilson Ramos 3B Jeimer Candelario SS Niko Goodrum,,Carlos Rodón,P,16.42%,47.65
20,2638011262,IamPGM (3/3),0,111,P Dustin May P Zack Wheeler 3B Justin Turner SS Carlos Correa OF Michael Brantley 1B Yuli Gurriel OF Akil Baddoo C Wilson Ramos 2B Jonathan Schoop OF Robbie Grossman,,Zack Wheeler,P,15.67%,13.05
21,2638049656,swagg2,0,110.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies SS Isiah Kiner-Falefa OF Marcell Ozuna C Jonah Heim 3B Yandy Díaz OF Adolis García,,Dansby Swanson,SS,14.93%,2
22,2638392635,Babelito84,0,109.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 3B Justin Turner OF Marcell Ozuna SS Dansby Swanson 2B Charlie Culberson C Zack Collins OF Matt Beaty,,J.T. Realmuto,C,14.93%,2
23,2638193215,ARaven52 (2/2),0,108.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman OF Austin Meadows SS Francisco Lindor 3B Yandy Díaz C Wilson Ramos 2B Jeff McNeil OF Nomar Mazara,,Gavin Lux,2B,14.93%,2
24,2637917019,giantsquid (1/4),0,108.15,P Carlos Rodón P Charlie Morton 1B Freddie Freeman OF Austin Meadows 2B Brandon Lowe C Travis d'Arnaud OF Marcell Ozuna SS Dansby Swanson 3B Austin Riley OF Adolis García,,Abraham Toro,3B,14.18%,2
25,2637548954,mrcpuguru,0,105.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies SS Dansby Swanson OF Akil Baddoo 3B Yandy Díaz C Wilson Ramos OF Nomar Mazara,,Ronald Torreyes,SS,13.43%,0
26,2637533786,bric75 (1/4),0,105.3,P Carlos Rodón P Josh Fleming OF Mookie Betts SS Corey Seager 3B Justin Turner 1B Max Muncy 2B Gavin Lux C Jorge Alfaro OF Nomar Mazara OF Harold Castro,,Aledmys Díaz,3B,12.69%,4
27,2637081120,supremexjp,0,104.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna SS Niko Goodrum 3B Abraham Toro OF Adolis García,,Yuli Gurriel,1B,12.69%,16
28,2638292751,PhillyD45,0,103.15,P Carlos Rodón P Charlie Morton OF Mookie Betts SS Corey Seager 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna 3B Austin Riley 1B Matt Beaty OF Ender Inciarte,,Myles Straw,OF,11.94%,3
29,2638271220,clothsofheaven,0,101.45,P Dustin May P Charlie Morton OF Mookie Betts 1B Pete Alonso C Jason Castro SS Francisco Lindor OF Dominic Smith OF Brandon Nimmo 2B Charlie Culberson 3B Abraham Toro,,Rhys Hoskins,1B,11.19%,3
29,2638362571,bgibberson27,0,101.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman SS Carlos Correa 2B Ozzie Albies 3B Alec Bohm C Wilson Ramos OF Ender Inciarte OF Nomar Mazara,,Francisco Lindor,SS,11.19%,12
31,2637481499,theWhistlesGoWooo (1/4),0,101,P Dustin May P Zack Wheeler SS Carlos Correa 2B Brandon Lowe OF Michael Brantley OF Kyle Tucker 1B Yuli Gurriel C Wilson Ramos 3B Jeimer Candelario OF Robbie Grossman,,Matt Beaty,1B,11.19%,3
32,2638443899,wakeforce139,0,100.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman OF Austin Meadows 2B Ozzie Albies C Travis d'Arnaud 3B Yandy Díaz OF Ender Inciarte SS Ronald Torreyes,,Mookie Betts,OF,11.19%,9
33,2637917020,giantsquid (2/4),0,100.5,P Lance McCullers Jr. P Carlos Rodón 1B Freddie Freeman OF Austin Meadows 2B Brandon Lowe 3B Brian Anderson OF Adam Duvall SS Miguel Rojas OF Corey Dickerson C Jorge Alfaro,,Zach Plesac,P,10.45%,-14.7
34,2637148570,ddpensak107 (1/2),0,100.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud SS Isiah Kiner-Falefa 3B Alec Bohm OF Nomar Mazara OF Adolis García,,Justin Turner,3B,10.45%,21
34,2638191438,Mile_High_Magic-333,0,100.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman SS Carlos Correa C Travis d'Arnaud 3B Austin Riley 2B Jeff McNeil OF Robbie Grossman OF Nomar Mazara,,Michael Brantley,OF,9.70%,6
36,2637206478,ryanmax,0,99.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. SS Corey Seager 1B Freddie Freeman 2B Ozzie Albies C Jonah Heim OF Myles Straw OF Nomar Mazara 3B Abraham Toro,,Jeff McNeil,2B,9.70%,5
37,2638441808,thewogshow,0,98.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud SS Dansby Swanson 3B Alec Bohm OF Nomar Mazara OF Adolis García,,Zach McKinstry,OF,9.70%,17
37,2638472060,slickcowboy23915,0,98.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna SS Amed Rosario 3B Abraham Toro OF Adolis García,,Max Muncy,1B,9.70%,2
39,2638302723,atwinger (2/2),0,96.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna 3B Yandy Díaz SS Amed Rosario OF Ronnie Dawson,,Manuel Margot,OF,9.70%,6
40,2638295100,shoran8,0,96.15,P Zach Plesac P Michael Fulmer OF Ronald Acuña Jr. 1B Freddie Freeman C J.T. Realmuto SS Francisco Lindor 3B Alec Bohm OF Brandon Nimmo 2B Jonathan Schoop OF Zach McKinstry,,Austin Riley,3B,8.96%,3
41,2637375406,bkreider (3/4),0,94.6,P Dustin May P Josh Fleming OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud SS Dansby Swanson OF Zach McKinstry 3B Ronald Torreyes OF Roman Quinn,,Randy Arozarena,OF,8.96%,0
42,2638402034,feartheturtle7,0,93.8,P Lance McCullers Jr. P Dustin May OF Ronald Acuña Jr. SS Corey Seager 1B Freddie Freeman 2B Gavin Lux C Zack Collins 3B Abraham Toro OF Ronnie Dawson OF Adolis García,,Brandon Nimmo,OF,8.21%,11
43,2637375405,bkreider (2/4),0,93.5,P Lance McCullers Jr. P Carlos Rodón 3B Joey Wendle OF Austin Meadows 2B Brandon Lowe C Mike Zunino SS Willy Adames OF Joey Gallo 1B Matt Beaty OF Adolis García,,Jean Segura,2B,8.21%,17
43,2637533887,bric75 (4/4),0,93.5,P Lance McCullers Jr. P Carlos Rodón 1B Pete Alonso SS Francisco Lindor OF Kyle Tucker OF Marcell Ozuna C James McCann OF Michael Conforto 2B Jeff McNeil 3B Abraham Toro,,Ronnie Dawson,OF,7.46%,9
45,2638180804,kmpatter,0,93.45,P Dustin May P Charlie Morton OF Mookie Betts SS Corey Seager 3B Justin Turner 1B Max Muncy 2B Gavin Lux C Wilson Ramos OF Nomar Mazara OF Adolis García,,Michael Fulmer,P,7.46%,12.85
46,2638248064,Nahunta,0,92.8,P Dustin May P Michael Fulmer OF Ronald Acuña Jr. 1B Freddie Freeman SS Carlos Correa 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna 3B Abraham Toro OF Ronnie Dawson,,Jorge Alfaro,C,6.72%,3
47,2638367339,BrandonAdams (2/2),0,92.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. C J.T. Realmuto 1B Rhys Hoskins 2B Ozzie Albies OF Marcell Ozuna SS Dansby Swanson OF Ender Inciarte 3B Abraham Toro,,Corey Dickerson,OF,6.72%,7
48,2637207521,gosixersgo76 (2/2),0,92.5,P Lance McCullers Jr. P Carlos Rodón OF Austin Meadows 2B Brandon Lowe OF Michael Brantley OF Kyle Tucker 1B Yuli Gurriel 3B Yandy Díaz C Jorge Alfaro SS Ronald Torreyes,,Adam Duvall,OF,6.72%,3
49,2637273630,dandydon,0,92.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Brandon Lowe C Travis d'Arnaud OF Marcell Ozuna 3B Austin Riley SS Ronald Torreyes OF Nomar Mazara,,Andrew McCutchen,OF,5.97%,0
50,2638472578,jimbob2125 (3/4),0,92.35,P Lance McCullers Jr. P Charlie Morton SS Corey Seager 3B Justin Turner 1B Max Muncy C Travis d'Arnaud 2B Gavin Lux OF Zach McKinstry OF David Dahl OF Adolis García,,Jonathan Schoop,2B,5.97%,9
51,2638507454,Cubasugar1,0,91.600006,P Dustin May P Carlos Rodón 1B Freddie Freeman SS Carlos Correa 2B Ozzie Albies C Travis d'Arnaud OF Kyle Tucker OF Myles Straw 3B Abraham Toro OF Ronnie Dawson,,Michael Conforto,OF,5.22%,6
52,2638001791,IamPGM (2/3),0,91.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman C Travis d'Arnaud OF Marcell Ozuna SS Dansby Swanson OF Akil Baddoo 2B Garrett Hampson 3B Ronald Torreyes,,Amed Rosario,SS,5.22%,0
53,2638218383,DEFIB-GOD,0,91.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Rhys Hoskins 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna 3B Alec Bohm SS Ronald Torreyes OF Adolis García,,Jon Gray,P,5.22%,4.8
54,2637469516,hank20,0,90.45,P Dustin May P Charlie Morton SS Corey Seager OF Randy Arozarena 3B Joey Wendle OF Austin Meadows 2B Jean Segura 1B Yandy Díaz C Wilson Ramos OF Adolis García,,Pete Alonso,1B,5.22%,2
55,2637917022,giantsquid (4/4),0,88.600006,P Dustin May P Carlos Rodón 1B Freddie Freeman C Travis d'Arnaud OF Marcell Ozuna SS Dansby Swanson 3B Austin Riley OF Adam Duvall 2B Jeff McNeil OF Corey Dickerson,,Dominic Smith,OF,4.48%,11
56,2638221762,givemesleeps,0,88.15,P Carlos Rodón P Charlie Morton OF Bryce Harper OF Randy Arozarena C J.T. Realmuto 1B Rhys Hoskins 2B Brandon Lowe 3B Yandy Díaz SS Ronald Torreyes OF Nomar Mazara,,Josh Fleming,P,4.48%,9.65
57,2637918512,crump11,0,87.45,P Dustin May P Charlie Morton OF Mookie Betts SS Corey Seager 1B Max Muncy 3B Aledmys Díaz 2B Gavin Lux C Wilson Ramos OF Zach McKinstry OF Ronnie Dawson,,Willy Adames,SS,4.48%,0
58,2638164380,tomcat1290,0,87.3,P Charlie Morton P Jon Gray OF Ronald Acuña Jr. 1B Freddie Freeman OF Austin Meadows 2B Ozzie Albies OF Marcell Ozuna SS Dansby Swanson C Wilson Ramos 3B Abraham Toro,,Jeimer Candelario,3B,4.48%,15
59,2638450631,Lamoosh2332,0,86.35,P Charlie Morton P Michael Fulmer OF Mookie Betts SS Corey Seager 2B Ryan McMahon 3B Justin Turner 1B Max Muncy OF Garrett Hampson C Wilson Ramos OF Sam Hilliard,,Akil Baddoo,OF,4.48%,9
60,2637207520,gosixersgo76 (1/2),0,86.15,P Josh Fleming P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna SS Amed Rosario OF Michael Conforto 3B Abraham Toro,,Zack Collins,C,4.48%,0
61,2638340630,drizzy26,0,85.8,P Lance McCullers Jr. P Dustin May SS Corey Seager 3B Justin Turner C Travis d'Arnaud 2B Gavin Lux OF Joey Gallo OF Zach McKinstry 1B Matt Beaty OF Adolis García,,Bryce Harper,OF,4.48%,0
62,2637047424,youdacao (1/4),0,85.55,P Zack Wheeler P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Kyle Tucker SS Dansby Swanson OF Nomar Mazara 3B Abraham Toro,,Robbie Grossman,OF,3.73%,14
63,2637047425,youdacao (2/4),0,84.55,P Zack Wheeler P Charlie Morton SS Carlos Correa 2B Ozzie Albies OF Michael Brantley OF Kyle Tucker 3B Aledmys Díaz 1B Yuli Gurriel C Wilson Ramos OF Robbie Grossman,,Jonah Heim,C,3.73%,4
64,2637843753,champions007,0,84.35,P Lance McCullers Jr. P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman C J.T. Realmuto OF Marcell Ozuna 3B Alec Bohm 2B Charlie Culberson SS Ronald Torreyes OF Adolis García,,Isiah Kiner-Falefa,SS,3.73%,4
65,2638198419,boss2019 (2/2),0,83.45,P Dustin May P Charlie Morton 1B Freddie Freeman 3B Justin Turner 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna SS Dansby Swanson OF Myles Straw OF Adolis García,,Brian Anderson,3B,3.73%,4
65,2638355273,kylerosso12,0,83.45,P Dustin May P Charlie Morton 1B Freddie Freeman C J.T. Realmuto SS Francisco Lindor OF Dominic Smith 3B Alec Bohm OF Michael Conforto 2B Jeff McNeil OF Brandon Nimmo,,Ender Inciarte,OF,3.73%,10
65,2638381604,TheTakeOVER (2/2),0,83.45,P Dustin May P Charlie Morton OF Mookie Betts SS Corey Seager C J.T. Realmuto 1B Rhys Hoskins 3B Alec Bohm 2B Jean Segura OF Nomar Mazara OF Adolis García,,Joey Gallo,OF,3.73%,9
65,2638498814,ejs39861,0,83.45,P Dustin May P Charlie Morton OF Ronald Acuña Jr. 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna SS Amed Rosario OF Nomar Mazara 3B Abraham Toro,,Mike Zunino,C,3.73%,0
69,2638256803,TheTakeOVER (1/2),0,83.35,P Charlie Morton P Michael Fulmer OF Mookie Betts SS Corey Seager OF Bryce Harper C J.T. Realmuto 1B Rhys Hoskins 3B Alec Bohm 2B Jean Segura OF Adolis García,,Austin Barnes,C,3.73%,3
70,2638360652,champsarehere (3/3),0,79.45,P Dustin May P Charlie Morton SS Carlos Correa OF Austin Meadows 2B Brandon Lowe C Travis d'Arnaud 1B Yuli Gurriel OF Manuel Margot 3B Yandy Díaz OF Myles Straw,,Charlie Culberson,2B,3.73%,8
