Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2630584035,el_chapo1513,0,222.15,P Joe Musgrove P Andrew Heaney OF Mike Trout 3B Anthony Rendon 1B Shohei Ohtani SS Eugenio Suárez OF Jared Walsh OF Jesse Winker 2B Eduardo Escobar C Tucker Barnhart,,Joe Musgrove,P,55.56%,53.65
2,2629524468,Patrick_Irish,0,213.15,P Joe Musgrove P Charlie Morton OF Mike Trout 3B Alex Bregman 1B Shohei Ohtani SS Carlos Correa OF Jared Walsh 2B Eduardo Escobar OF Tyler Naquin C Tucker Barnhart,,Mike Trout,OF,39.95%,12
3,2630549021,jasonread99 (4/20),0,212.6,P Zach Plesac P Joe Musgrove 3B José Ramírez 1B Shohei Ohtani 2B Jake Cronenworth OF Franmil Reyes OF Jesse Winker SS Amed Rosario OF Tyler Naquin C Tucker Barnhart,,Tyler Mahle,P,32.82%,18.6
4,2630028226,NcBoi252 (1/20),0,211.6,P Zach Plesac P Joe Musgrove OF Mike Trout SS Eugenio Suárez 1B Jared Walsh 3B Mike Moustakas OF Jesse Winker 2B Eduardo Escobar OF Tyler Naquin C Tucker Barnhart,,Lance McCullers Jr.,P,31.59%,17.65
4,2630277404,KOCANNON,0,211.6,P Zach Plesac P Joe Musgrove SS Bo Bichette 2B Marcus Semien 1B Shohei Ohtani OF Jared Walsh 3B Mike Moustakas OF Mark Canha OF Tyler Naquin C Tucker Barnhart,,Mike Moustakas,3B,24.98%,2
6,2629356119,zroth2 (6/20),0,209.6,P Zach Plesac P Joe Musgrove 2B Marcus Semien 1B Shohei Ohtani SS Eugenio Suárez OF Jared Walsh 3B Mike Moustakas OF Jesse Winker OF Tyler Naquin C Tucker Barnhart,,Tucker Barnhart,C,24.28%,19
7,2630199949,ryan745,0,209.15,P Joe Musgrove P Charlie Morton 1B Freddie Freeman 3B Anthony Rendon OF Shohei Ohtani SS Dansby Swanson 2B Ozzie Albies OF Jared Walsh OF Tyler Naquin C Tucker Barnhart,,Eddie Rosario,OF,22.39%,4
8,2629801491,Brew129 (5/5),0,206.3,P Lance McCullers Jr. P Joe Musgrove OF Mike Trout 3B Anthony Rendon 1B Shohei Ohtani OF Jared Walsh 2B Eduardo Escobar SS José Iglesias OF Tyler Naquin C Tucker Barnhart,,Zack Wheeler,P,22.27%,5.9
9,2630424793,clubbalang (5/5),0,206.15,P Joe Musgrove P Charlie Morton OF Mike Trout OF Shohei Ohtani SS Eugenio Suárez 1B Matt Olson 3B Mike Moustakas OF Jesse Winker 2B Eduardo Escobar C Tucker Barnhart,,Eugenio Suárez,SS,21.50%,9
10,2630603032,kingarnie62,0,205.15,P Joe Musgrove P Charlie Morton 3B Manny Machado OF Shohei Ohtani SS Eugenio Suárez 1B Matt Olson OF Jesse Winker 2B Jed Lowrie C Tucker Barnhart OF Trent Grisham,,José Ramírez,3B,21.50%,6
11,2630422176,relay20 (4/4),0,204.25,P Joe Musgrove P Tyler Mahle C J.T. Realmuto OF Shohei Ohtani SS Eugenio Suárez 2B Ozzie Albies 1B Jared Walsh 3B Mike Moustakas OF Franmil Reyes OF Tyler Naquin,,Shohei Ohtani,1B,21.49%,25
12,2630486487,Olson1313,0,204.15,P Joe Musgrove P Charlie Morton OF Mike Trout SS Bo Bichette 1B Shohei Ohtani OF Jared Walsh 3B Mike Moustakas OF Jesse Winker 2B Eduardo Escobar C Tucker Barnhart,,Jared Walsh,1B,20.80%,25
13,2629692100,JoshiQ (7/20),0,202.6,P Zach Plesac P Joe Musgrove 3B José Ramírez SS Eugenio Suárez OF Eddie Rosario 1B Jared Walsh OF Franmil Reyes 2B Jonathan India OF Tyler Naquin C Tucker Barnhart,,Nick Castellanos,OF,20.14%,6
14,2630303199,breves228 (14/15),0,202.15,P Joe Musgrove P Andrew Heaney OF Nick Castellanos 3B Anthony Rendon 1B Shohei Ohtani SS Eugenio Suárez OF Jesse Winker 2B Eduardo Escobar OF Tyler Naquin C Max Stassi,,Alejandro Kirk,C,19.98%,0
15,2630254889,voltlu48 (6/20),0,201.15,P Joe Musgrove P Charlie Morton OF Mike Trout 3B Anthony Rendon SS Eugenio Suárez 1B Jared Walsh OF Franmil Reyes OF Jesse Winker 2B Jonathan India C Tucker Barnhart,,Vladimir Guerrero Jr.,1B,19.55%,7
15,2630260385,krazykarl101 (1/20),0,201.15,P Joe Musgrove P Charlie Morton OF Mike Trout 3B Anthony Rendon OF Shohei Ohtani SS Eugenio Suárez 1B Jared Walsh 2B Jonathan India OF Tyler Naquin C Tucker Barnhart,,Charlie Morton,P,19.04%,26.5
15,2630266430,YuvNC (6/20),0,201.15,P Joe Musgrove P Charlie Morton OF Mike Trout 3B Anthony Rendon OF Shohei Ohtani SS Eugenio Suárez 1B Jared Walsh 2B Jonathan India OF Tyler Naquin C Tucker Barnhart,,Bo Bichette,SS,18.56%,3
