Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2633474803,calliope3211 (5/7),0,175.45,P Clayton Kershaw P Luke Weaver SS Corey Seager 1B Max Muncy OF David Peralta 2B Eduardo Escobar C Dom Nuñez OF Zach McKinstry 3B Josh VanMeter OF Alex Dickerson,,Clayton Kershaw,P,55.44%,26.5
2,2633515250,rpolak24 (40/150),0,162.8,P Clayton Kershaw P Anthony DeSclafani SS Corey Seager C Carson Kelly OF David Peralta OF Tyler Naquin 2B Eduardo Escobar OF Garrett Hampson 1B Brandon Belt 3B Josh VanMeter,,Nick Castellanos,OF,54.57%,0
3,2633457718,dueller300 (43/50),0,159.45,P Clayton Kershaw P Luke Weaver SS Corey Seager 3B Justin Turner OF Mike Yastrzemski C Carson Kelly OF David Peralta 2B Eduardo Escobar 1B Brandon Belt OF Pavin Smith,,Max Scherzer,P,52.09%,19.1
4,2633524343,lphilipg5 (1/3),0,158.25,P Anthony DeSclafani P Luke Weaver SS Trea Turner OF Juan Soto 3B Evan Longoria 1B Christian Walker OF David Peralta 2B Eduardo Escobar C Curt Casali OF Alex Dickerson,,Tyler Naquin,OF,47.50%,0
5,2633500713,TopherSquints (11/11),0,155.6,P Max Scherzer P Clayton Kershaw OF Mike Yastrzemski OF David Peralta 2B Eduardo Escobar SS Brandon Crawford 1B Brandon Belt OF Tim Locastro C Curt Casali 3B Josh VanMeter,,Mike Moustakas,3B,41.85%,0
6,2633340458,KILLANADZ24 (2/9),0,155.05,P Max Scherzer P Luke Weaver SS Trea Turner 3B Justin Turner OF Charlie Blackmon C Carson Kelly OF David Peralta 2B Eduardo Escobar 1B Brandon Belt OF Tim Locastro,,Eugenio Suárez,SS,35.07%,3
7,2633023681,Aaron1010 (105/150),0,153.6,P Max Scherzer P Clayton Kershaw OF Nick Castellanos SS Eugenio Suárez C Carson Kelly OF David Peralta 2B Eduardo Escobar 1B Brandon Belt OF Pavin Smith 3B Josh VanMeter,,Tyler Stephenson,C,34.77%,2
8,2633501315,garyeast (8/30),0,153.05,P Max Scherzer P Luke Weaver OF Juan Soto SS Trevor Story OF Charlie Blackmon C Carson Kelly 1B Christian Walker OF David Peralta 3B Eduardo Escobar 2B Zach McKinstry,,Juan Soto,OF,33.68%,0
9,2633089156,bigsqueeze1 (18/29),0,152.05,P Max Scherzer P Luke Weaver SS Trea Turner OF Nick Castellanos C Carson Kelly OF Chris Taylor 1B Christian Walker OF David Peralta 3B Eduardo Escobar 2B Josh VanMeter,,José De León,P,32.14%,9.15
10,2632811075,Mgoblue1017 (22/150),0,151.6,P Max Scherzer P Clayton Kershaw SS Trevor Story 1B Joey Votto C Carson Kelly OF David Peralta 3B Eduardo Escobar OF Tim Locastro 2B Josh VanMeter OF Alex Dickerson,,Ryan McMahon,3B,29.23%,8
10,2633501336,garyeast (29/30),0,151.6,P Max Scherzer P Clayton Kershaw OF Nick Castellanos SS Eugenio Suárez C Carson Kelly OF David Peralta 2B Eduardo Escobar 1B Brandon Belt OF Tim Locastro 3B Josh VanMeter,,Germán Márquez,P,28.01%,15.35
12,2633450094,Zaphawk,0,150.8,P Clayton Kershaw P Anthony DeSclafani OF Nick Castellanos 3B Mike Moustakas OF Mike Yastrzemski C Carson Kelly OF David Peralta 2B Eduardo Escobar 1B Brandon Belt SS Nick Ahmed,,Charlie Blackmon,OF,27.65%,3
13,2632811177,Mgoblue1017 (124/150),0,150.6,P Max Scherzer P Clayton Kershaw SS Trevor Story OF Mike Yastrzemski OF David Peralta 3B Tommy La Stella 1B Brandon Belt C Curt Casali 2B Josh VanMeter OF Alex Dickerson,,Eduardo Escobar,2B,26.31%,23
14,2633023693,Aaron1010 (117/150),0,149.45,P Clayton Kershaw P Luke Weaver SS Corey Seager OF Mike Yastrzemski 3B Evan Longoria C Carson Kelly 1B Christian Walker OF David Peralta 2B Eduardo Escobar OF Pavin Smith,,Max Muncy,1B,23.50%,5
14,2633501313,garyeast (6/30),0,149.45,P Clayton Kershaw P Luke Weaver SS Trevor Story OF Mike Yastrzemski OF Charlie Blackmon C Carson Kelly 2B Chris Taylor 1B Christian Walker OF David Peralta 3B Eduardo Escobar,,Joey Votto,1B,23.30%,2
16,2633458187,Tapee (5/50),0,149.4,P Max Scherzer P Anthony DeSclafani SS Trea Turner OF Mike Yastrzemski C Carson Kelly 1B Christian Walker OF David Peralta OF Tyler Naquin 2B Eduardo Escobar 3B Josh VanMeter,,Dom Nuñez,C,22.78%,0
17,2632635967,foster28 (3/7),0,149.05,P Max Scherzer P Luke Weaver SS Trea Turner OF Juan Soto OF Mike Yastrzemski OF David Peralta 3B Eduardo Escobar 2B Tommy La Stella 1B Brandon Belt C Jonathan Lucroy,,Anthony DeSclafani,P,21.95%,29.3
18,2632724150,Mr.Bowdrie,0,147.6,P Max Scherzer P Clayton Kershaw OF Mike Yastrzemski OF Charlie Blackmon 3B Evan Longoria OF David Peralta 2B Eduardo Escobar SS Brandon Crawford 1B Brandon Belt C Curt Casali,,Christian Walker,1B,19.66%,5
19,2633458208,Tapee (26/50),0,147.4,P Max Scherzer P Anthony DeSclafani SS Trea Turner OF Mike Yastrzemski 1B Christian Walker OF David Peralta 2B Eduardo Escobar C Tyler Stephenson OF Tim Locastro 3B Josh VanMeter,,Corey Seager,SS,19.51%,5
20,2632947005,cbesch24 (36/50),0,146.8,P Clayton Kershaw P Anthony DeSclafani SS Corey Seager OF Mike Yastrzemski 3B Evan Longoria C Carson Kelly 2B Tommy La Stella 1B Brandon Belt OF Zach McKinstry OF Alex Dickerson,,Chris Taylor,OF,19.39%,5
21,2633509459,roscoe30 (10/14),0,146.4,P Max Scherzer P Anthony DeSclafani OF Mike Yastrzemski 2B Eduardo Escobar 1B Brandon Belt C Dom Nuñez OF Pavin Smith 3B Josh VanMeter OF Alex Dickerson SS Nick Ahmed,,Garrett Hampson,2B,19.33%,2
22,2633430039,soylentbrown,0,145.8,P Clayton Kershaw P Anthony DeSclafani SS Corey Seager 1B Max Muncy C Carson Kelly 2B Gavin Lux OF David Peralta OF Tyler Naquin 3B Eduardo Escobar OF Zach McKinstry,,Tim Locastro,OF,18.97%,3
23,2633515334,rpolak24 (124/150),0,145.6,P Max Scherzer P Clayton Kershaw SS Corey Seager OF David Peralta 3B Tommy La Stella OF Garrett Hampson 1B Brandon Belt OF Zach McKinstry C Jonathan Lucroy 2B Josh VanMeter,,Mike Yastrzemski,OF,18.60%,7
24,2633089145,bigsqueeze1 (7/29),0,144.8,P Clayton Kershaw P Anthony DeSclafani OF Juan Soto SS Trevor Story 1B Joey Votto 3B Evan Longoria C Carson Kelly OF David Peralta OF Raimel Tapia 2B Zach McKinstry,,Nick Senzel,OF,18.03%,0
25,2632811199,Mgoblue1017 (146/150),0,144.6,P Max Scherzer P Clayton Kershaw SS Trevor Story OF Mike Yastrzemski 3B Evan Longoria OF David Peralta 2B Garrett Hampson 1B Brandon Belt C Curt Casali OF Alex Dickerson,,Josh VanMeter,3B,17.54%,18
25,2633296558,Schlaurizzle (5/10),0,144.6,P Max Scherzer P Clayton Kershaw OF Mike Yastrzemski SS Eugenio Suárez OF David Peralta 3B Eduardo Escobar 2B Tommy La Stella 1B Brandon Belt C Dom Nuñez OF Alex Dickerson,,Trevor Story,SS,17.33%,12
27,2632947001,cbesch24 (32/50),0,143.8,P Clayton Kershaw P Anthony DeSclafani SS Corey Seager OF Mike Yastrzemski 3B Evan Longoria OF David Peralta 2B Tommy La Stella 1B Brandon Belt C Austin Barnes OF Alex Dickerson,,David Peralta,OF,15.44%,27
27,2633515328,rpolak24 (118/150),0,143.8,P Clayton Kershaw P Anthony DeSclafani 1B Max Muncy OF Mike Yastrzemski SS Eugenio Suárez OF Chris Taylor OF David Peralta C Austin Barnes 2B Zach McKinstry 3B Josh VanMeter,,Justin Turner,3B,15.24%,0
29,2633499778,cmasich29,0,143.45,P Clayton Kershaw P Luke Weaver 1B Max Muncy SS Trevor Story 2B Ryan McMahon OF Charlie Blackmon OF Chris Taylor OF David Peralta 3B Eduardo Escobar C Dom Nuñez,,Carson Kelly,C,15.00%,7
29,2633511159,may2399,0,143.45,P Clayton Kershaw P Luke Weaver SS Trevor Story 2B Ryan McMahon OF Charlie Blackmon OF Chris Taylor 1B Christian Walker OF David Peralta 3B Eduardo Escobar C Dom Nuñez,,Alex Dickerson,OF,13.19%,14
31,2633458212,Tapee (30/50),0,143.4,P Max Scherzer P Anthony DeSclafani SS Eugenio Suárez C Carson Kelly OF David Peralta 3B Eduardo Escobar 1B Ryan Zimmerman OF Tim Locastro 2B Josh VanMeter OF Alex Dickerson,,Tommy La Stella,2B,13.04%,0
32,2633463126,B-Ran14 (127/150),0,143.05,P Max Scherzer P Luke Weaver SS Trea Turner OF Juan Soto OF Mike Yastrzemski 3B Evan Longoria C Tyler Stephenson 1B Brandon Belt 2B Josh VanMeter OF Alex Dickerson,,Trea Turner,SS,12.28%,14
33,2633477693,footballfantz (34/50),0,142.6,P Max Scherzer P Clayton Kershaw SS Trea Turner OF Mike Yastrzemski 3B Evan Longoria OF David Peralta 2B Tommy La Stella 1B Brandon Belt C Austin Barnes OF Alex Dickerson,,Ryan Zimmerman,1B,11.25%,0
