Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2636774572,bobbymo87 (9/50),0,255.2,P Shane Bieber P Trevor Bauer 1B Freddie Freeman OF Marcell Ozuna 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas 2B Jon Berti OF Alex Dickerson,,Trevor Bauer,P,52.18%,35.95
2,2636313546,thethrash (97/150),0,249.75,P Shane Bieber P Brandon Woodruff OF Mookie Betts 1B Max Muncy 2B Chris Taylor 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas OF Garrett Cooper,,Brandon Woodruff,P,31.83%,20.5
3,2636467318,bleach916 (16/20),0,249.2,P Shane Bieber P Trevor Bauer OF Starling Marte 2B Brandon Lowe 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas OF Garrett Cooper 1B Rowdy Tellez,,Alex Bregman,3B,30.23%,3
4,2636665771,thechampkr (14/150),0,247.2,P Shane Bieber P Trevor Bauer 2B Jose Altuve SS Corey Seager C Wilson Ramos 3B Jeimer Candelario OF Adam Duvall 1B Renato Núñez OF Garrett Cooper OF Nomar Mazara,,Shane Bieber,P,25.22%,43.25
5,2636544874,A_playa_named_gus (79/103),0,245.2,P Shane Bieber P Trevor Bauer OF Starling Marte 1B Nate Lowe 3B Brian Anderson OF Adam Duvall 2B Charlie Culberson SS Miguel Rojas C Jose Trevino OF Garrett Cooper,,Wilson Ramos,C,22.33%,30
6,2636630671,Javadd1993 (63/80),0,243.7,P Trevor Bauer P Lucas Giolito OF Mookie Betts 2B Ozzie Albies 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas 1B Jesús Aguilar OF Garrett Cooper,,Carlos Correa,SS,20.45%,0
7,2636665766,thechampkr (9/150),0,241.2,P Shane Bieber P Trevor Bauer SS Corey Seager 3B Alex Bregman OF Andrew Benintendi C Wilson Ramos OF Adam Duvall 2B Jonathan Schoop 1B Renato Núñez OF Nomar Mazara,,Nomar Mazara,OF,20.21%,21
8,2636480516,teevillecards (47/150),0,240,P Shane Bieber P Lucas Giolito 1B Max Muncy 2B Gavin Lux OF Akil Baddoo 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas OF Robbie Grossman,,Corey Seager,SS,17.39%,25
9,2636539619,A_playa_named_gus (76/103),0,235.75,P Shane Bieber P Brandon Woodruff 1B Freddie Freeman 2B Ozzie Albies C Travis d'Arnaud OF Marcell Ozuna 3B Brian Anderson OF Adam Duvall SS Miguel Rojas OF Garrett Cooper,,Lucas Giolito,P,17.26%,28.75
10,2636798161,tsidener111 (5/12),0,234.2,P Shane Bieber P Trevor Bauer SS Corey Seager 3B Alex Bregman 2B Gavin Lux C Wilson Ramos OF Adam Duvall 1B Jesús Aguilar OF Garrett Cooper OF Nomar Mazara,,Mike Trout,OF,16.79%,3
11,2636420141,gehrenberg (98/150),0,232.2,P Shane Bieber P Trevor Bauer 3B Nolan Arenado SS Bo Bichette 2B Tommy Edman C Wilson Ramos 1B Matt Carpenter OF Dylan Carlson OF Justin Williams OF Nomar Mazara,,Jose Altuve,2B,15.15%,3
11,2636534366,A_playa_named_gus (71/103),0,232.2,P Shane Bieber P Trevor Bauer OF Starling Marte 1B Nate Lowe 2B Nick Solak 3B Brian Anderson OF Adam Duvall SS Miguel Rojas C Jose Trevino OF Garrett Cooper,,Robbie Grossman,OF,14.73%,0
13,2636313452,thethrash (3/150),0,231.7,P Trevor Bauer P Lucas Giolito 1B Freddie Freeman 2B Ozzie Albies OF Marcell Ozuna 3B Brian Anderson OF Adam Duvall SS Miguel Rojas OF Garrett Cooper C Jorge Alfaro,,Ronald Acuña Jr.,OF,13.90%,9
13,2636665763,thechampkr (6/150),0,231.7,P Trevor Bauer P Lucas Giolito OF Mookie Betts 2B Jose Altuve C Wilson Ramos 3B Jeimer Candelario OF Adam Duvall SS Miguel Rojas 1B Renato Núñez OF Nomar Mazara,,Rowdy Tellez,1B,13.57%,14
15,2636665791,thechampkr (34/150),0,231.45,P Trevor Bauer P Brandon Woodruff OF Mookie Betts SS Corey Seager 1B Freddie Freeman C Wilson Ramos 3B Jeimer Candelario OF Adam Duvall 2B Jonathan Schoop OF Nomar Mazara,,Jeimer Candelario,3B,13.38%,14
16,2636298491,TooEasy27 (89/150),0,231.2,P Shane Bieber P Trevor Bauer OF Starling Marte 2B Marcus Semien 3B Brian Anderson OF Adam Duvall SS Miguel Rojas C Danny Jansen OF Garrett Cooper 1B Rowdy Tellez,,Rougned Odor,2B,13.24%,2
17,2636744447,Jammeh_2 (6/66),0,230.8,P Trevor Bauer P Jack Flaherty OF Starling Marte 1B Freddie Freeman 2B Brandon Lowe 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas OF Garrett Cooper,,Luis Castillo,P,13.24%,13.05
17,2636753609,Jammeh_2 (48/66),0,230.8,P Trevor Bauer P Jack Flaherty OF Starling Marte 1B Freddie Freeman 2B Brandon Lowe 3B Brian Anderson C Wilson Ramos OF Adam Duvall SS Miguel Rojas OF Garrett Cooper,,Austin Meadows,OF,12.61%,2
19,2636669122,sfhc1922 (1/7),0,230.2,P Shane Bieber P Trevor Bauer SS Corey Seager C Travis d'Arnaud 2B Gavin Lux 3B Brian Anderson OF Adam Duvall 1B Jesús Aguilar OF Garrett Cooper OF Nomar Mazara,,Gavin Lux,2B,12.49%,5
19,2636710629,sfhc1922 (4/7),0,230.2,P Shane Bieber P Trevor Bauer SS Corey Seager C Travis d'Arnaud 2B Gavin Lux 3B Brian Anderson OF Adam Duvall 1B Jesús Aguilar OF Garrett Cooper OF Nomar Mazara,,Will Smith,C,12.37%,4
19,2636732330,kfish191 (103/149),0,230.2,P Shane Bieber P Trevor Bauer 3B DJ LeMahieu OF Chris Taylor SS José Iglesias 1B Tommy La Stella C Wilson Ramos OF Adam Duvall 2B Rougned Odor OF Nomar Mazara,,Miguel Rojas,SS,12.18%,19
