Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2639231130,bric75 (5/6),0,162.6,P Julio Urías P Sean Manaea 3B Justin Turner 1B Max Muncy C Will Smith 2B Eduardo Escobar OF AJ Pollock OF Tim Locastro SS Nick Ahmed OF Andrew Young,,Patrick Corbin,P,55.50%,-18.7
2,2639595879,uhhuhbro (3/12),0,160.6,P Julio Urías P Sean Manaea OF Juan Soto 1B Vladimir Guerrero Jr. C Will Smith 2B Eduardo Escobar OF Tim Locastro SS Nick Ahmed OF Pavin Smith 3B Andrew Young,,Sean Manaea,P,47.25%,24.5
3,2639823236,cab4123 (5/10),0,159.6,P Julio Urías P Sean Manaea OF Juan Soto C Carson Kelly 3B Starlin Castro 2B Eduardo Escobar 1B Josh Bell OF Tim Locastro SS Nick Ahmed OF Pavin Smith,,Julio Urías,P,42.00%,12.1
4,2639231131,bric75 (6/6),0,155.6,P Julio Urías P Sean Manaea 1B Max Muncy OF Kyle Schwarber C Carson Kelly 2B Chris Taylor 3B Eduardo Escobar OF Tim Locastro SS Nick Ahmed OF Pavin Smith,,Juan Soto,OF,40.75%,8
5,2639530739,anilprao88 (11/12),0,153.9,P Sean Manaea P Tarik Skubal 3B Justin Turner 1B Max Muncy SS Isiah Kiner-Falefa OF Joey Gallo 2B Nick Solak OF AJ Pollock C Jose Trevino OF Adolis García,,Josh Bell,1B,38.00%,11
6,2639595884,uhhuhbro (8/12),0,143.6,P Julio Urías P Sean Manaea SS Trea Turner 3B Justin Turner OF Austin Meadows 1B Nate Lowe OF Joey Gallo 2B Nick Solak C Jose Trevino OF Adolis García,,Bo Bichette,SS,35.50%,4
7,2639289394,dacoltz (2/2),0,142.6,P Julio Urías P Sean Manaea OF Juan Soto OF Kyle Schwarber C Carson Kelly 2B Eduardo Escobar OF Tim Locastro SS Nick Ahmed 1B Rowdy Tellez 3B Andrew Young,,Ramón Laureano,OF,31.25%,6
7,2639607500,jsmithinc (1/2),0,142.6,P Julio Urías P Sean Manaea 3B Justin Turner 1B Max Muncy SS Bo Bichette C Will Smith 2B Chris Taylor OF AJ Pollock OF Stephen Piscotty OF Adolis García,,Trea Turner,SS,28.25%,6
7,2639859043,mariob888 (1/2),0,142.6,P Julio Urías P Sean Manaea 3B Justin Turner 1B Max Muncy SS Isiah Kiner-Falefa OF Mark Canha OF Ramón Laureano 2B Jed Lowrie C Jose Trevino OF Adolis García,,Rich Hill,P,28.25%,0.35
10,2639862084,ebeimfohr,0,141.75,P Julio Urías P Jakob Junis OF Juan Soto SS Trea Turner OF Kyle Schwarber C Carson Kelly 2B Eduardo Escobar 1B Josh Bell OF Andrew Young 3B Wyatt Mathisen,,Matt Chapman,3B,28.00%,9
